iter	Passed	Remaining
0	207	62094
1	259	38613
2	311	30881
3	363	26878
4	414	24457
5	461	22629
6	520	21778
7	564	20619
8	614	19870
9	662	19225
10	713	18734
11	760	18261
12	814	17986
13	865	17678
14	916	17416
15	966	17157
16	1017	16931
17	1069	16757
18	1132	16743
19	1194	16724
20	1263	16791
21	1320	16681
22	1378	16599
23	1432	16474
24	1486	16348
25	1540	16230
26	1598	16167
27	1657	16096
28	1703	15917
29	1748	15734
30	1794	15569
31	1837	15393
32	1886	15260
33	1934	15131
34	1982	15008
35	2029	14882
36	2077	14763
37	2123	14637
38	2170	14528
39	2215	14398
40	2262	14290
41	2311	14197
42	2358	14095
43	2404	13991
44	2453	13904
45	2498	13797
46	2547	13711
47	2592	13612
48	2640	13524
49	2687	13435
50	2734	13350
51	2780	13260
52	2828	13181
53	2873	13088
54	2920	13008
55	2966	12923
56	3013	12848
57	3058	12762
58	3106	12689
59	3152	12609
60	3200	12539
61	3244	12453
62	3291	12380
63	3338	12310
64	3385	12241
65	3430	12163
66	3476	12090
67	3523	12020
68	3571	11955
69	3616	11884
70	3667	11829
71	3714	11762
72	3762	11700
73	3807	11628
74	3855	11567
75	3900	11497
76	3953	11448
77	3998	11380
78	4045	11317
79	4090	11249
80	4136	11184
81	4182	11120
82	4230	11061
83	4276	10997
84	4325	10941
85	4371	10877
86	4419	10820
87	4466	10759
88	4515	10705
89	4561	10643
90	4608	10585
91	4655	10525
92	4703	10469
93	4752	10414
94	4799	10356
95	4848	10303
96	4896	10247
97	4941	10184
98	4989	10129
99	5034	10069
100	5081	10012
101	5126	9950
102	5172	9893
103	5220	9837
104	5266	9780
105	5310	9720
106	5360	9669
107	5406	9610
108	5452	9554
109	5499	9499
110	5549	9449
111	5596	9394
112	5647	9345
113	5696	9293
114	5748	9247
115	5796	9194
116	5844	9140
117	5889	9083
118	5936	9030
119	5982	8974
120	6030	8921
121	6086	8880
122	6135	8828
123	6182	8774
124	6230	8722
125	6276	8667
126	6325	8616
127	6371	8561
128	6421	8512
129	6469	8459
130	6519	8410
131	6565	8355
132	6613	8304
133	6658	8248
134	6708	8198
135	6754	8144
136	6802	8093
137	6847	8038
138	6895	7986
139	6941	7933
140	6988	7880
141	7038	7831
142	7092	7786
143	7144	7740
144	7197	7693
145	7248	7646
146	7303	7601
147	7353	7551
148	7400	7499
149	7447	7447
150	7495	7395
151	7543	7345
152	7593	7296
153	7642	7245
154	7693	7197
155	7741	7146
156	7790	7096
157	7838	7044
158	7886	6993
159	7932	6941
160	7981	6890
161	8027	6838
162	8075	6787
163	8121	6734
164	8168	6683
165	8214	6630
166	8262	6580
167	8312	6530
168	8359	6479
169	8405	6427
170	8456	6379
171	8503	6328
172	8578	6297
173	8640	6257
174	8699	6213
175	8752	6166
176	8816	6126
177	8875	6083
178	8941	6044
179	9001	6000
180	9068	5962
181	9130	5919
182	9187	5874
183	9241	5826
184	9296	5779
185	9351	5731
186	9410	5686
187	9458	5634
188	9507	5583
189	9556	5532
190	9608	5483
191	9660	5434
192	9715	5386
193	9770	5338
194	9824	5290
195	9874	5239
196	9924	5189
197	9970	5136
198	10021	5086
199	10071	5035
200	10122	4985
201	10170	4934
202	10220	4883
203	10266	4831
204	10312	4779
205	10360	4727
206	10411	4677
207	10462	4627
208	10513	4577
209	10560	4526
210	10607	4474
211	10667	4428
212	10723	4380
213	10775	4330
214	10825	4279
215	10870	4227
216	10920	4177
217	10968	4125
218	11019	4075
219	11065	4023
220	11120	3975
221	11166	3923
222	11231	3878
223	11284	3828
224	11341	3780
225	11412	3736
226	11472	3689
227	11527	3640
228	11579	3590
229	11631	3540
230	11682	3489
231	11730	3438
232	11782	3388
233	11831	3337
234	11885	3287
235	11937	3237
236	12011	3192
237	12090	3149
238	12169	3106
239	12217	3054
240	12268	3003
241	12320	2952
242	12373	2902
243	12422	2851
244	12481	2801
245	12535	2751
246	12590	2701
247	12641	2650
248	12690	2599
249	12746	2549
250	12796	2498
251	12843	2446
252	12890	2394
253	12938	2343
254	12991	2292
255	13044	2241
256	13108	2193
257	13161	2142
258	13268	2100
259	13321	2049
260	13371	1998
261	13420	1946
262	13470	1895
263	13517	1843
264	13563	1791
265	13612	1739
266	13662	1688
267	13709	1636
268	13758	1585
269	13805	1533
270	13856	1482
271	13901	1431
272	13947	1379
273	13994	1327
274	14042	1276
275	14086	1224
276	14133	1173
277	14181	1122
278	14227	1070
279	14271	1019
280	14318	968
281	14363	916
282	14410	865
283	14456	814
284	14504	763
285	14548	712
286	14597	661
287	14642	610
288	14690	559
289	14735	508
290	14781	457
291	14826	406
292	14872	355
293	14916	304
294	14963	253
295	15010	202
296	15058	152
297	15103	101
298	15152	50
299	15197	0
