iter	Passed	Remaining
0	35	11250
1	64	10220
2	92	9743
3	116	9184
4	138	8731
5	162	8484
6	190	8527
7	217	8479
8	237	8209
9	259	8035
10	279	7865
11	303	7785
12	323	7651
13	345	7549
14	366	7454
15	386	7336
16	406	7241
17	428	7197
18	450	7131
19	471	7075
20	491	7004
21	513	6954
22	535	6911
23	555	6849
24	575	6789
25	596	6743
26	618	6710
27	638	6661
28	658	6607
29	679	6571
30	700	6532
31	721	6493
32	746	6492
33	765	6443
34	786	6403
35	807	6371
36	828	6333
37	848	6297
38	871	6277
39	892	6247
40	914	6223
41	936	6196
42	958	6171
43	978	6140
44	1000	6114
45	1021	6087
46	1044	6068
47	1069	6058
48	1093	6047
49	1115	6021
50	1137	6000
51	1161	5986
52	1185	5971
53	1209	5959
54	1231	5935
55	1254	5912
56	1278	5900
57	1301	5879
58	1323	5855
59	1348	5843
60	1370	5819
61	1395	5807
62	1418	5784
63	1441	5766
64	1464	5744
65	1485	5718
66	1509	5699
67	1531	5674
68	1552	5646
69	1575	5627
70	1599	5607
71	1620	5580
72	1642	5557
73	1663	5531
74	1687	5511
75	1710	5490
76	1730	5459
77	1751	5433
78	1773	5411
79	1795	5387
80	1816	5359
81	1836	5331
82	1859	5310
83	1880	5282
84	1901	5256
85	1925	5237
86	1948	5217
87	1968	5189
88	1990	5167
89	2020	5164
90	2043	5141
91	2066	5122
92	2092	5107
93	2113	5080
94	2135	5057
95	2159	5038
96	2180	5013
97	2201	4987
98	2223	4964
99	2245	4940
100	2265	4912
101	2285	4885
102	2308	4863
103	2328	4836
104	2349	4811
105	2370	4786
106	2394	4765
107	2416	4742
108	2436	4716
109	2459	4695
110	2479	4669
111	2501	4644
112	2522	4620
113	2543	4595
114	2563	4569
115	2584	4544
116	2606	4522
117	2627	4498
118	2647	4471
119	2670	4450
120	2691	4425
121	2711	4400
122	2731	4374
123	2753	4352
124	2775	4329
125	2797	4307
126	2818	4283
127	2840	4260
128	2861	4236
129	2883	4214
130	2906	4193
131	2927	4169
132	2948	4145
133	2971	4124
134	2994	4102
135	3014	4078
136	3035	4055
137	3057	4031
138	3079	4009
139	3101	3988
140	3123	3965
141	3144	3942
142	3165	3918
143	3188	3896
144	3209	3873
145	3230	3850
146	3253	3829
147	3274	3805
148	3295	3781
149	3317	3759
150	3338	3736
151	3358	3712
152	3380	3689
153	3402	3667
154	3425	3646
155	3445	3622
156	3467	3600
157	3488	3576
158	3511	3555
159	3536	3536
160	3556	3512
161	3577	3489
162	3606	3473
163	3628	3451
164	3649	3428
165	3671	3405
166	3691	3382
167	3710	3357
168	3735	3337
169	3755	3313
170	3776	3290
171	3797	3267
172	3820	3245
173	3841	3222
174	3861	3199
175	3883	3177
176	3903	3153
177	3923	3130
178	3944	3107
179	3965	3084
180	3994	3067
181	4016	3045
182	4037	3022
183	4059	3000
184	4081	2978
185	4104	2956
186	4126	2934
187	4148	2912
188	4172	2892
189	4194	2869
190	4216	2847
191	4240	2826
192	4264	2805
193	4284	2782
194	4306	2760
195	4328	2738
196	4350	2716
197	4375	2695
198	4399	2674
199	4423	2653
200	4447	2633
201	4474	2613
202	4497	2592
203	4522	2571
204	4545	2549
205	4567	2527
206	4588	2505
207	4610	2482
208	4633	2461
209	4654	2438
210	4675	2415
211	4700	2394
212	4723	2372
213	4745	2350
214	4773	2331
215	4796	2309
216	4818	2287
217	4839	2264
218	4860	2241
219	4882	2219
220	4903	2196
221	4925	2174
222	4949	2152
223	4969	2129
224	4991	2107
225	5015	2086
226	5036	2063
227	5058	2041
228	5080	2019
229	5102	1996
230	5124	1974
231	5148	1953
232	5171	1930
233	5196	1909
234	5222	1888
235	5246	1867
236	5269	1845
237	5291	1823
238	5315	1801
239	5339	1779
240	5363	1758
241	5388	1736
242	5413	1715
243	5439	1694
244	5463	1672
245	5487	1650
246	5510	1628
247	5535	1606
248	5558	1584
249	5581	1562
250	5604	1540
251	5627	1518
252	5651	1496
253	5675	1474
254	5698	1452
255	5720	1430
256	5744	1408
257	5767	1385
258	5788	1363
259	5809	1340
260	5829	1317
261	5852	1295
262	5872	1272
263	5895	1250
264	5916	1227
265	5937	1205
266	5961	1183
267	5983	1161
268	6003	1138
269	6026	1116
270	6047	1093
271	6071	1071
272	6092	1048
273	6113	1026
274	6136	1004
275	6158	981
276	6181	959
277	6202	937
278	6223	914
279	6245	892
280	6265	869
281	6290	847
282	6313	825
283	6335	803
284	6356	780
285	6378	758
286	6399	735
287	6420	713
288	6441	690
289	6463	668
290	6484	646
291	6505	623
292	6527	601
293	6549	579
294	6570	556
295	6592	534
296	6614	512
297	6634	489
298	6656	467
299	6679	445
300	6700	422
301	6722	400
302	6744	378
303	6764	356
304	6785	333
305	6807	311
306	6828	289
307	6848	266
308	6868	244
309	6889	222
310	6910	199
311	6933	177
312	6953	155
313	6976	133
314	6997	111
315	7017	88
316	7038	66
317	7060	44
318	7081	22
319	7103	0
