iter	Passed	Remaining
0	5	5437
1	9	4721
2	13	4625
3	29	7261
4	45	9053
5	61	10208
6	75	10779
7	90	11217
8	103	11364
9	121	12065
10	142	12807
11	158	13034
12	177	13438
13	198	13956
14	206	13563
15	212	13057
16	218	12611
17	223	12169
18	228	11814
19	234	11474
20	239	11176
21	245	10901
22	249	10609
23	253	10319
24	258	10083
25	263	9886
26	268	9679
27	273	9486
28	278	9335
29	284	9189
30	287	8991
31	291	8806
32	296	8685
33	299	8518
34	303	8357
35	306	8204
36	310	8091
37	314	7954
38	318	7836
39	321	7707
40	325	7619
41	330	7533
42	333	7424
43	336	7316
44	340	7229
45	344	7138
46	347	7046
47	351	6963
48	354	6877
49	358	6818
50	362	6741
51	365	6671
52	369	6597
53	373	6536
54	376	6472
55	379	6402
56	382	6335
57	386	6280
58	391	6245
59	395	6192
60	398	6136
61	402	6082
62	406	6049
63	410	6009
64	414	5956
65	417	5914
66	422	5879
67	425	5832
68	428	5785
69	432	5740
70	435	5694
71	439	5665
72	443	5628
73	446	5591
74	450	5551
75	454	5522
76	457	5483
77	460	5445
78	465	5423
79	468	5384
80	472	5363
81	476	5333
82	479	5301
83	483	5275
84	488	5257
85	492	5236
86	496	5207
87	499	5176
88	503	5157
89	507	5126
90	510	5097
91	513	5072
92	517	5045
93	521	5024
94	524	4997
95	527	4969
96	531	4943
97	535	4924
98	538	4902
99	541	4877
100	545	4851
101	548	4827
102	553	4820
103	556	4796
104	559	4771
105	562	4746
106	566	4725
107	570	4710
108	573	4687
109	576	4666
110	579	4643
111	584	4631
112	588	4620
113	592	4604
114	596	4589
115	602	4588
116	606	4579
117	610	4565
118	614	4552
119	619	4541
120	622	4523
121	627	4515
122	631	4506
123	635	4492
124	639	4477
125	642	4459
126	646	4440
127	650	4430
128	653	4413
129	656	4395
130	660	4378
131	663	4364
132	667	4351
133	670	4334
134	673	4317
135	677	4301
136	681	4293
137	684	4276
138	687	4259
139	691	4245
140	695	4235
141	699	4227
142	703	4215
143	707	4207
144	710	4192
145	715	4183
146	718	4168
147	721	4154
148	724	4139
149	728	4126
150	731	4114
151	734	4099
152	738	4086
153	741	4072
154	745	4064
155	748	4051
156	752	4038
157	755	4025
158	758	4010
159	762	4004
160	765	3991
161	769	3981
162	772	3968
163	776	3958
164	780	3947
165	783	3936
166	786	3923
167	789	3911
168	794	3907
169	832	4064
170	844	4092
171	848	4083
172	864	4130
173	870	4132
174	877	4138
175	881	4126
176	884	4112
177	887	4100
178	891	4090
179	895	4077
180	898	4064
181	901	4050
182	904	4040
183	909	4032
184	913	4022
185	916	4009
186	919	3996
187	922	3984
188	926	3976
189	929	3963
190	932	3950
191	937	3946
192	944	3949
193	949	3945
194	954	3938
195	959	3936
196	963	3926
197	966	3914
198	969	3902
199	973	3894
200	976	3882
201	980	3872
202	983	3860
203	986	3848
204	990	3842
205	994	3833
206	999	3827
207	1002	3817
208	1006	3810
209	1010	3800
210	1014	3793
211	1018	3784
212	1023	3781
213	1028	3776
214	1032	3768
215	1037	3764
216	1040	3755
217	1044	3745
218	1047	3735
219	1050	3724
220	1054	3717
221	1058	3708
222	1061	3697
223	1064	3687
224	1067	3676
225	1071	3671
226	1075	3661
227	1078	3651
228	1081	3642
229	1085	3634
230	1089	3626
231	1093	3621
232	1097	3613
233	1102	3609
234	1107	3605
235	1111	3598
236	1115	3590
237	1120	3586
238	1124	3580
239	1127	3570
240	1130	3560
241	1135	3555
242	1138	3547
243	1141	3538
244	1145	3529
245	1148	3520
246	1153	3515
247	1156	3505
248	1159	3496
249	1162	3488
250	1167	3484
251	1170	3475
252	1173	3465
253	1177	3457
