City,PM2_5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
Delhi,91.87,179.36,21.3,30.01,40.31,31.79,10.1,7.35,34.78,9.72,16.21,15.64,290.0
Other Cities,79.04,143.38,6.19,43.61,28.23,26.0,0.08,8.67,45.46,0.19,7.14,0.1,176.0
Jaipur,23.18,54.55,4.46,17.09,18.71,24.62,0.58,12.13,42.34,0.64,0.89,0.82,68.0
Ahmedabad,125.8585,141.54,80.0449295774648,19.486140845070423,31.950499999999998,16.645,80.0449295774648,64.65138028169014,27.215,0.0,0.0,0.0,246.13782991202345
Amritsar,24.07,59.83,9.5,9.99,19.5,13.0,0.67,8.75,13.37,1.91,2.89,2.0,85.0
Visakhapatnam,28.47,84.28,11.2,41.79,31.34,6.26,0.37,6.88,4.38,4.2,9.27,1.79,106.0
Chennai,82.48,48.55,7.68,16.63,14.35,97.01194174757282,0.0,5.14,34.23,0.19,0.1,0.82,171.0
Ahmedabad,220.49,141.54,108.73,177.19,178.15,16.645,108.73,133.39,41.76,0.74,5.81,3.21,1477.0
Other Cities,11.4,34.2,53.97,38.01,13.29,20.42,2.72,14.96,28.1,0.0,0.0,0.1,78.0
Chennai,73.28,48.55,10.34,22.18,20.41,9.81,1.02,4.53,27.79,6.49375,3.52,0.82,152.0
Bengaluru,20.96,66.49,16.9,31.6,37.49,16.25,0.95,7.01,23.72,0.44,1.92,0.82,92.0
Other Cities,52.61,112.77,37.05,19.98,82.21,2.5,0.79,13.83,17.93,0.0,0.35,0.32,101.0
Ahmedabad,32.36,141.54,25.68,78.27,57.34,16.645,25.68,71.59,44.82,7.3,76.14,12.58,717.0
Chennai,60.92,48.55,6.31,12.17,11.77,11.81,1.01,3.0,46.66,3.03,2.47,0.82,120.0
Mumbai,14.8,71.97,21.85,9.55,31.4,7.21,1.79,19.68,17.61,0.16,1.44,0.45,91.0
Visakhapatnam,74.53,113.217,4.21,33.5,21.25,9.72,1.21,6.3,42.2,5.58,9.34,2.23,110.0
Gurugram,89.69,395.4,5.15,13.43,20.58990797546012,39.69,0.47,14.79,54.0,0.03,2.97,10.64,212.0
Chennai,43.52,48.55,4.68,25.73,15.24,105.44932038834952,0.03,2.36,25.3,0.14,0.22,0.82,97.0
Ahmedabad,43.18,141.54,29.79,51.27,47.24,16.645,29.79,18.21,3.046666666666667,6.41,27.58,0.65,474.0
Mumbai,14.94,34.2,17.92,21.94,39.84,17.44,0.75,10.98,10.91,1.65,1.44,0.45,73.0
Patna,100.96,158.08,13.86,11.5,25.23,49.8,2.01,0.92,12.55,0.24,2.0,0.63,154.0
